SN,identifier,group_name,fiscal_year_id,date,district_id,rural_municipality_id,ward_no,component_id,sub_component_id,group_type_id,,,,,,,,
1,A-1-B-551,Ma Laxmi Bali Utpadan Krishak Pathshala samuha,2077/078,2077-06-10,22,166,1,Component A,Crop,FFS (Crop),,,,,,,,
2,A-1-B-552,Ma Kali Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-21,22,166,7,Component A,Crop,FFS (Crop),,,,,,,,
3,A-1-B-553,Shree Janta Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-06,22,166,7,Component A,Crop,FFS (Crop),,,,,,,,
4,A-1-B-554,Maa Laxmi Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-18,22,166,7,Component A,Crop,FFS (Crop),,,,,,,,
5,A-1-B-559,Shree Ramjanaki Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-30,22,166,6,Component A,Crop,Others,,,,,,,,
6,A-1-B-567,Ma Kali Biu Utpadan Samuha,2077/078,2077-05-31,22,166,6,Component A,Crop,Seed Producers,,,,,,,,
7,A-2-D-592,Jay Krishna Biu Utpadak Krishak Samuha,2077/078,2077-05-06,21,Bariyarpatti,5,Component A,Crop,Seed Producers,,,,,,,,
8,A-2-C-594,Sarswati Biu Utpadan Krishak Samuha,2077/078,2077-06-06,21,164,2,Component A,Crop,Seed Producers,,,,,,,,
9,A-1-B-598,Baba Dihbar Baba bali Utpadan Krishak Samuha,2077/078,2077-06-16,22,166,1,Component A,Crop,Others,,,,,,,,
10,A-1-B-599,Dihbar Baba bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-16,22,166,4,Component A,Crop,FFS (Crop),,,,,,,,
11,A-1-B-600,Hariyali Krishak Samuha,2077/078,2077-10-05,22,166,4,Component A,Crop,FFS (Crop),,,,,,,,
12,A-1-B-601,Kabir Baba bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-17,22,166,4,Component A,Crop,FFS (Crop),,,,,,,,
13,A-1-B-602,Shree Ramjanaki Krishak Samuha,2077/078,2077-06-20,22,166,1,Component A,Crop,FFS (Crop),,,,,,,,
14,A-1-B-603,Ekta Bali Utpadan Krishak Samuha,2077/078,2077-11-06,22,166,7,Component A,Crop,Others,,,,,,,,
15,A-1-B-604,Jay Gurudev Bali Utpadan Krishak Samuha,2077/078,2077-01-06,22,166,7,Component A,Crop,Others,,,,,,,,
16,A-1-B-605,Kamala Bali Utpadan Krishak Samuha,2077/078,2077-12-03,22,166,7,Component A,Crop,Others,,,,,,,,
17,A-1-B-606,Shree Ram Samudayik Krishak Samuha,2077/078,2077-06-27,22,166,7,Component A,Crop,Others,,,,,,,,
18,A-1-B-607,Shree 108 Chhinnmasta Krishak Samuha,2077/078,2077-06-23,22,166,7,Component A,Crop,Others,,,,,,,,
19,A-1-B-608,Ujjwal Krishak Samuha,2077/078,2077-06-28,22,166,7,Component A,Crop,Others,,,,,,,,
20,A-1-B-609,Jay Bajarangbali Krishak Samuha,2077/078,2077-06-28,22,166,1,Component A,Crop,Others,,,,,,,,
21,A-1-B-610,Ma Durga Krishak Samuha,2077/078,2077-12-02,22,166,1,Component A,Crop,Others,,,,,,,,
22,A-1-B-611,Ma Sarswati Krishak Samuha,2077/078,2077-11-15,22,166,1,Component A,Crop,FFS (Crop),,,,,,,,
23,A-1-B-612,Ram Rahim Bali Utpadan Krishak Samuha,2077/078,2077-05-30,22,166,1,Component A,Crop,Others,,,,,,,,
24,A-1-B-613,Sasiya Maharaj Bali Utpadan Krishak Samuha,2077/078,2077-06-18,22,166,1,Component A,Crop,Others,,,,,,,,
25,A-2-C-710,Bajarang Krishak Pathshala Samuha,2077/078,2077-07-06,21,164,4,Component A,Crop,FFS (Crop),,,,,,,,
26,A-2-C-711,Chandrawati Krishak Pathshala Samuha,2077/078,2077-02-06,21,164,3,Component A,Crop,FFS (Crop),,,,,,,,
27,A-2-C-713,Dihbar Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-09-06,21,164,4,Component A,Crop,FFS (Crop),,,,,,,,
28,A-2-C-714,Jyoti Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-04-13,21,164,3,Component A,Crop,FFS (Crop),,,,,,,,
29,A-2-C-715,Rajshree Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-12-04,21,164,3,Component A,Crop,FFS (Crop),,,,,,,,
30,A-2-C-716,Ramjanaki Krishak Pathshala Samuha,2077/078,2077-06-27,21,164,3,Component A,Crop,FFS (Crop),,,,,,,,
31,A-2-C-717,Sarswati Krishak Pathshala Samuha,2077/078,2077-06-20,21,164,4,Component A,Crop,FFS (Crop),,,,,,,,
32,A-2-C-722,Janaki Bakhrapalan Krishak Samuha,2077/078,2077-05-02,21,164,2,Component A,Livestock,Promotion Program (Goat),,,,,,,,
33,A-2-C-723,RamJanaki Bakhrapalan Krishak Samuha,2077/078,2077-05-19,21,164,2,Component A,Livestock,Promotion Program (Goat),,,,,,,,
34,A-2-C-724,Tulasi Bakhrapalan Krishak Samuha,2077/078,2077-04-29,21,164,2,Component A,Livestock,Promotion Program (Goat),,,,,,,,
35,A-2-C-725,Laxmi Bakhrapalan Krishak Samuha,2077/078,2077-06-07,21,164,2,Component A,Livestock,Promotion Program (Goat),,,,,,,,
36,A-2-C-726,Dihbar Baba Krishak Samuha,2077/078,2077-04-11,21,164,3,Component A,Crop,Others,,,,,,,,
37,A-2-C-727,Jay hanuman Krishak Samuha,2077/078,2077-04-09,21,164,3,Component A,Crop,Others,,,,,,,,
38,A-2-C-748,Bishwakarma Bali Utpadan Krishak Samuha,2077/078,2077-06-08,21,164,4,Component A,Crop,Others,,,,,,,,
39,A-2-C-749,Jay Ma Durga Krishak Samuha,2077/078,2077-06-24,21,164,4,Component A,Crop,Others,,,,,,,,
40,A-2-C-750,Laxmi Krishak Samuha,2077/078,2077-06-06,21,164,3,Component A,Crop,Others,,,,,,,,
